datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2020-01-01,55.73970344798193,203.65789949008615,0.28260857848194054,8.879938626774068e-05,1.5832844217526882e-05,2.7025715518456e-06,1.5343306482545533e-08,1.6369082281944556e-19,5.152263214043543e-10,2.6593785960874093e-06,4.7498532652623863e-07,8.092257865894716e-08,0.25881904510252074,0.0086069968886884,0.9567409873027988,2020
2020-01-02,62.06438226299694,204.24477652900003,0.31182974999611107,4.942660550458708e-05,-3.19275984518663e-06,1.6677695241695295e-06,-9.938837920489814e-07,6.763830066882046e-20,-3.257623666950883e-08,1.7809633027524819e-06,-9.578279535532087e-08,5.980595672593659e-08,0.25881904510252074,0.017213356155834685,0.9565615853611686,2020
2020-01-03,146.7825818501568,205.1583145516224,0.779566783060243,0.0005366132723112131,-7.467935763976228e-07,1.761122658795003e-05,1.411136536994712e-06,4.1019395694340977e-20,4.6258973634376265e-08,1.5675057208237986e-05,-2.2403807291024925e-08,5.144591055481874e-07,0.25881904510252074,0.02581844022713287,0.956486798054876,2020
2020-01-04,217.8464208523592,206.19811240202566,1.106987491672682,0.001570966514459665,1.6235675034877599e-06,5.1398854321546684e-05,-6.050228310504007e-07,1.887864970050863e-19,-1.983331435076601e-08,4.731050228310456e-05,4.870702510423178e-08,1.5479156239516312e-06,0.25881904510252074,0.03442161162274574,0.9564123522431327,2020
2020-01-05,226.25363249810172,207.36311222509997,1.1849011713509305,-9.198936977980045e-05,3.92392702990574e-06,-3.298769748444302e-06,-1.021260440394411e-06,-1.620128986675378e-19,-3.331177302912623e-08,-2.453302961275606e-06,1.1771781089573895e-07,-8.896956054459044e-08,0.25881904510252074,0.04302223300453047,0.9563382455922629,2020
2020-01-06,193.48381098484847,208.65220257828884,0.9370114305095237,-1.602272727272673e-05,6.159307358922388e-06,-9.653784821087605e-07,2.2348484848503282e-07,0.0,7.466227904795932e-09,-5.477272727275443e-07,1.8477922077058615e-07,-3.120122283470274e-08,0.25881904510252074,0.051619667223253764,0.9562644757898061,2020
2020-01-07,208.93217573696145,210.0642193117962,1.0926479161123919,-0.0010418745275888148,8.334536830326676e-06,-3.417806387327822e-05,-8.624338624337718e-06,8.12946753670159e-20,-2.777926812851118e-07,-2.8668934240363948e-05,2.500361049096086e-07,-9.420041118128115e-07,0.25881904510252074,0.060213277365792996,0.9561910405442766,2020
2020-01-08,213.8031769500878,211.1885109049323,1.137410210145952,0.00045263355906696853,1.0430444452970926e-05,1.4030281947916572e-05,9.32279909706574e-06,1.3444433260015886e-19,3.0061030263652517e-07,1.0782167042889108e-05,3.1291333358715295e-07,3.3072536764654033e-07,0.25881904510252074,0.06880242680231986,0.9557505231440825,2020
2020-01-09,221.026318934665,212.43036465425357,1.1638900582305274,0.000700973782771535,-4.689782317782086e-05,2.593578980663692e-05,3.8202247191061695e-07,1.8711624010536347e-19,1.2380691286185286e-08,2.0914606741573647e-05,-1.4069346953349037e-06,7.743594868132517e-07,0.25881904510252074,0.07738647923346309,0.955607282736744,2020
2020-01-10,161.41764970708581,214.19987476437967,0.6565925067459304,-0.0017300074738415526,1.4067634073935328e-05,-5.79593058238467e-05,-2.428998505228113e-07,-4.1488154881358617e-20,-8.038254367361771e-09,-5.1827354260089935e-05,4.2202902221879647e-07,-1.7363676984051955e-06,0.25881904510252074,0.08596479873744647,0.9555361442833238,2020
2020-01-11,248.45270005580355,215.67287578581065,1.2527527853519753,0.00182328869047619,1.5958575344414735e-05,5.86808604292182e-05,-1.0119047619047369e-06,-9.29316147844718e-20,-3.2748920236660534e-08,5.500223214285682e-05,4.787572603328622e-07,1.7702504889475452e-06,0.25881904510252074,0.09453674981719926,0.955103467015993,2020
2020-01-12,235.57992196650994,217.67458408757162,1.0902959004610864,-0.0016476614699331847,1.7842134831186658e-05,-5.3947885758624335e-05,1.9524870081670356e-06,-1.0560306238314639e-19,6.287453774767561e-08,-5.00155902004451e-05,5.352640449349038e-07,-1.6372989340830352e-06,0.25881904510252074,0.10310169744743486,0.9550339259591897,2020
2020-01-13,176.76485066371683,218.95339795072638,0.9234380614073726,0.0014635693215339237,-3.967038876945124e-05,4.959886657235423e-05,-2.1533923303832764e-06,2.6865186574862056e-20,-7.023588142165217e-08,4.45530973451323e-05,-1.1901116630832558e-06,1.5090367615971207e-06,0.25881904510252074,0.11165900712169446,0.9545383742499778,2020
2020-01-14,227.41287863829612,221.1789733104176,1.045510240218135,-0.0015190949227373077,2.0844412153600253e-05,-5.082749675020703e-05,1.3576158940403533e-06,5.1058821956638914e-20,4.485140211427955e-08,-4.5980132450330485e-05,6.253323646076782e-07,-1.5382803231404974e-06,0.25881904510252074,0.1202080448993527,0.9544706946876408,2020
