datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2020-01-01,58.907492033101455,203.95184364742846,0.29724434043504605,6.907907332950407e-05,6.303650224025342e-06,2.1842789796838924e-06,-4.90139766417794e-07,1.1558180540684068e-19,-1.605901591183879e-08,2.2194141298105243e-06,1.8910950672111516e-07,7.034607416406765e-08,0.25881904510252074,0.0129175915359897,0.9566511317639698,2020
2020-01-03,182.35510925925928,205.67880764702429,0.943464234914241,0.0010543809523809525,4.3974145559071737e-07,3.4524347670596126e-05,4.019047619047047e-07,1.1498738469331978e-19,1.317506262009938e-08,3.151085714285691e-05,1.3192243667972041e-08,1.031777911331854e-06,0.25881904510252074,0.030124942022879655,0.9564495326085406,2020
2020-01-05,209.85008134243458,208.00839067265755,1.0608152942517053,-5.3962836556691794e-05,5.04288874181396e-06,-2.1307468164902184e-06,-3.981797497152789e-07,-8.091429182599441e-20,-1.2899576884728291e-08,-1.49943117178624e-06,1.512866622551619e-07,-6.005253142928823e-08,0.25881904510252074,0.0473258405770427,0.9563013187286896,2020
2020-01-07,211.37318652589244,210.62763693143341,1.1150796992083953,-0.00029292986425339394,9.384861577873512e-06,-1.0019356634828792e-05,3.6953242835654017e-07,1.0792962803023121e-19,1.2063112693717667e-08,-8.8987556561093e-06,2.8154584733512006e-07,-3.04199632852978e-07,0.25881904510252074,0.0645175683164507,0.9559702835213285,2020
2020-01-09,191.18853388921008,213.31611270039974,0.9099566037275754,-0.0005158810325476986,-1.6380882735303174e-05,-1.6058837186848713e-05,6.921062476661253e-08,7.268575731739707e-20,2.159760016284371e-09,-1.5497194163860656e-05,-4.914264820588652e-07,-4.824130436103481e-07,0.25881904510252074,0.0816804528572303,0.9555716735894652,2020
2020-01-11,242.00913554956853,216.67484571612357,1.1714337872293341,8.58788554440727e-05,1.6901405009476714e-05,2.3037065403204305e-06,4.7194351542214414e-07,-9.927440182104359e-20,1.511611057155224e-08,2.4347826086956656e-06,5.070421502841627e-07,6.457636303814658e-08,0.25881904510252074,0.09882399785061706,0.9550686577244605,2020
2020-01-13,202.11684698690402,220.06741523021822,0.984541594005467,-2.9410681399631636e-05,-9.379554716255299e-06,-6.697992675576486e-07,-3.9594843462204975e-07,3.8975370915132684e-20,-1.2628655519136012e-08,-7.635359116021047e-07,-2.8138664148768335e-07,-1.6305381370990894e-08,0.25881904510252074,0.11593824923581512,0.954504497076786,2020
2020-01-15,247.25368600941877,223.77446257255977,1.1996040349589168,0.0007508944870390652,-8.137657157844321e-06,2.4960296959222774e-05,-4.25337714494346e-07,-5.193403615556706e-20,-1.3994421687615809e-08,2.265443592552015e-05,-2.441297147359516e-07,7.530072352829721e-07,0.25881904510252074,0.13302748999868513,0.9538072590776796,2020
2020-01-21,222.87093641577061,225.39350990494552,1.002710372704546,-0.0006699612903225808,6.493654234492771e-06,-2.2354459064926406e-05,2.580645161421385e-09,1.5668470105596966e-19,2.406018987354303e-10,-2.009961290322599e-05,1.9480962703574308e-07,-6.707059525174093e-07,0.25881904510252074,0.18592337282539786,0.9562914517996166,2020
2020-01-23,91.92039922989132,238.96415029724463,0.4038705849249137,-0.00039926082365364303,-4.077869506432086e-06,-1.2947443133505029e-05,5.631819781773916e-08,-7.38829780335071e-20,1.7551182221373732e-09,-1.1994720168954582e-05,-1.2233608519306674e-07,-3.8894982947179165e-07,0.25881904510252074,0.20090205007408884,0.9510787933861294,2020
2020-01-25,128.42466602325942,243.30250974480586,0.550852539826639,-0.00017152560083594568,-2.5752579822649934e-06,-5.614058844606672e-06,4.928596307907156e-07,1.0513475611980649e-19,1.6240218507528188e-08,-5.293625914315475e-06,-7.725773946667362e-08,-1.7329383089045719e-07,0.25881904510252074,0.21773438130280265,0.9502490155620661,2020
2020-01-27,96.76168304381284,247.95822316130983,0.4259530662478292,0.00025872113064460446,-1.3752867672934124e-06,8.591383266959929e-06,-5.704929334708756e-07,8.01285576631824e-20,-1.889625634332494e-08,7.932781799379688e-06,-4.1258603020244486e-08,2.6341037491179416e-07,0.25881904510252074,0.23450219706726047,0.949436399637156,2020
2020-01-29,151.25298140566358,252.91171716195635,0.6092664475011728,-0.00022998976458546587,-4.4996121660586547e-07,-7.617603010486571e-06,2.115319003751023e-07,1.8347467674950877e-20,7.005954614572944e-09,-6.963152507676323e-06,-1.3498836497003692e-08,-2.306298766989703e-07,0.25881904510252074,0.251200528660335,0.9486404186339432,2020
2020-01-31,158.3015855263158,257.91226551760633,0.7349467446758516,6.47941970310392e-05,2.2522827461205346e-07,2.1457232613309523e-06,-1.6869095814703184e-09,7.842542030394473e-20,-5.3090570710796236e-11,1.944331983806208e-06,6.756848237257249e-09,6.438762501113861e-08,0.37989774310773294,0.2678286119019189,0.9477041830990753,2020
2020-02-02,72.27528728728728,263.1656804378592,0.2897557669245108,0.0005052218885552217,6.726176136918547e-07,1.671985522886251e-05,8.341675008197643e-09,-4.746323824828101e-20,2.8482006711924767e-10,1.5154154154153946e-05,2.0178528409744886e-08,5.015102108457398e-07,0.5,0.2843689440664612,0.9467885653637741,2020
2020-02-04,238.87053811881185,268.65057876736074,0.9653406255161993,0.0006055610561056115,9.166022122377812e-07,1.9971425916496423e-05,-4.6534653465376655e-07,-1.1736577972780378e-19,-1.5371459353128214e-08,1.8306435643565026e-05,2.7498066367892224e-08,6.037542153008305e-07,0.5,0.3008332762329744,0.9457783291460203,2020
