datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2020-03-31,481.71541282390575,459.44728475890827,1.103754275250613,0.00024211947758787499,-2.324343610455777e-06,7.955137829199437e-06,-2.0759432441156257e-07,3.776002406592534e-21,-6.794617233627451e-09,7.3258626249597785e-06,-6.973030831376386e-08,2.406925200460709e-07,0.8396201086236635,0.7206425338634325,0.8995512309682039,2020
2020-04-06,495.8764408773705,476.9346340596842,1.1080660929964967,-9.073468752432105e-05,3.9330320904840315e-06,-3.1798470570523207e-06,7.992839909720836e-07,8.249015828639032e-20,2.5520425074475785e-08,-2.9618258230206866e-06,1.1799096271275996e-07,-1.0305153923391143e-07,0.8660254037844387,0.7554808477478094,0.8945990718882171,2020
2020-04-12,481.74816990226384,490.86670135937464,1.0468969170396145,-7.570853278626254e-05,-4.3536127789488595e-06,-2.2499881337046455e-06,-6.705417521463999e-07,3.927874749951284e-20,-2.133909898563685e-08,-2.070093457944144e-06,-1.3060838336846133e-07,-6.109791431544927e-08,0.8660254037844386,0.7882940667726082,0.8897584320567897,2020
2020-04-18,398.1565040930252,501.90439622236295,0.8238861181139651,-2.1501668520578823e-05,1.3100517500283344e-06,-7.433248426116198e-07,5.376344086033883e-08,1.06514722885339e-19,1.780807255624342e-09,-6.611790878751994e-07,3.930155250024724e-08,-2.2833987455036e-08,0.8660254037844386,0.8189818897577789,0.8847728427032763,2020
2020-04-24,367.2981581117183,510.59974792264876,0.7193623278864297,7.559927140254977e-05,2.3614082400959537e-07,2.4428186845543036e-06,-2.6593806921721435e-08,-4.158280681940762e-20,-8.589812000067695e-10,2.275956284153111e-06,7.084224720105225e-09,7.354225489663054e-08,0.8660254037844386,0.84746903605608,0.8801861742018382,2020
2020-04-30,245.46743711872097,509.092954878466,0.5174496761066675,0.00017636047545888244,0.0024689883343770413,-5.624266109938962e-06,7.27743187515825e-08,-6.620760739557314e-20,2.357887580145068e-09,5.268981968141082e-06,7.406965003131195e-05,-1.6943534957221253e-07,0.9471445145462637,0.8723451810438493,0.8689850602210636,2020
2021-01-01,78.20054024055327,206.7673921023541,0.3894973838396903,-0.00042853161028759656,-0.003869940067702753,3.916599070363313e-06,-3.737488914227287e-08,1.1714273567662969e-19,-1.22000467606041e-09,-1.2844735841885269e-05,-0.00011609820203108338,1.178639735137176e-07,0.25881904510252074,0.030174271141347696,0.9563752566676117,2021
2021-01-07,182.67152713571122,214.82059000613978,0.897946529065416,-0.00010619171950764734,4.884561124068138e-06,-3.4978153547542504e-06,4.10294666170154e-08,1.030955888992806e-19,1.3357465923241058e-09,-3.1980604252141916e-06,1.4653683372167253e-07,-1.0533518462032317e-07,0.25881904510252074,0.0817587561217801,0.9552823629227343,2021
2021-01-13,101.4966125554903,225.33718454883126,0.4733764731524483,0.00032255698351115413,-8.273366370264911e-06,1.0786193462706373e-05,-2.0004849660484156e-08,2.124237040175285e-20,-6.594536093920662e-10,9.682710960232774e-06,-2.482009911085475e-07,3.2378363996400896e-07,0.25881904510252074,0.13310996448221973,0.9535523493718674,2021
2021-01-19,170.3876698382742,236.83250962457333,0.7476216391575251,-0.00022362585515451795,4.022212242838795e-06,-7.533877858398032e-06,-5.60273649445825e-08,1.6778405877577045e-20,-1.811419832097866e-09,-6.691967445152351e-06,1.206663672863898e-07,-2.2547290980231213e-07,0.25881904510252074,0.18410719418806293,0.9515002888094992,2021
2021-01-25,117.94184579185261,250.3305865327342,0.4734324723107913,-8.782469390090254e-05,-1.43880183262367e-06,-2.8477722830601296e-06,5.549834077107515e-08,7.483587944195632e-20,1.801843766782839e-09,-2.651390319258444e-06,-4.316405497885304e-08,-8.59737216218383e-08,0.25881904510252074,0.23459386771456422,0.9490622700254736,2021
2021-01-31,101.60040266781824,265.74551229450407,0.42034192594925013,0.00021810125180015522,5.377472633312208e-07,7.127768982826975e-06,-2.3429710867393697e-07,1.7487519254889714e-20,-7.659487145284485e-09,6.61332668660671e-06,1.613241790165174e-08,2.1613091562839447e-07,0.4604043231241759,0.28446420547734735,0.9463600236348085,2021
2021-02-06,154.234185300412,282.6452540452,0.5438584524336493,-4.204691516709541e-05,8.453961273480914e-07,-1.4086879686805661e-06,8.997429305912328e-07,6.652003046269248e-20,2.9308251289207453e-08,-1.5313303341905892e-06,2.53618838197851e-08,-5.105311444717986e-08,0.5,0.33356572833559156,0.9427427820960916,2021
2021-02-12,226.64134763016975,301.07550470979504,0.7828688930263594,0.0001646447409246044,3.7909807666422307e-06,5.0834610311146115e-06,-6.867307891197345e-07,-3.857333202347849e-20,-2.2301688926629874e-08,5.145361464474347e-06,1.137294229994723e-07,1.5919433761142819e-07,0.5,0.38179237730841675,0.9388379528847318,2021
