samplingFrequency,accuracy,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE,maxNormError
15_minutes,50.17712947777425,23.41405558950796,84.57496346136963,0.22827068151173183,50.17712947777425,0.13542976636845536,0.9008734101965021,-0.08199683612636767,1.596279206279931
30_minutes,68.52149936594262,35.35066136508358,96.551705456258,0.26542180100691753,68.52149936594262,0.1883664269156009,0.8685267981653533,-0.09558973936899927,1.4664381482752489
45_minutes,87.38300400218728,50.579246645397,113.81758297060733,0.3163070390502923,87.38300400218728,0.24284349164565824,0.8147155056063149,-0.09952277554663197,1.2603817650006723
1_hour,107.04024066810761,60.05633186096445,135.3986211612564,0.38193630589632177,107.04024066810761,0.3019421745391347,0.7347083222400826,-0.9381212055759806,1.271256414941627
2_hours,162.55084905391814,95.0282175870462,204.46984567202426,0.5962902049023924,162.55084905391814,0.4740429023695419,0.35360575822189244,-0.2514963023480986,1.5000800981747737
4_hours,228.47927434136432,148.31284223180097,285.6207773167642,0.8852845856225027,228.47927434136432,0.7081738997030341,-0.5152619244531231,-2.130541718778646,1.962999700256068
6_hours,229.35919743776833,200.54972073309125,277.3289243476854,0.9671014400814999,229.35919743776833,0.7998214057900307,-0.9061634189736547,-0.37161296103443253,1.85616970345956
12_hours,115.46522173405552,48.920882043090124,158.2008932424303,0.43669359458358137,115.46522173405552,0.3187271683173485,0.04620452643934603,-2.759278480564371,1.3233745134955999
24_hours,135.003318966617,62.88756348115424,183.69238811666804,0.5064312795209143,135.003318966617,0.37219780451877177,-0.4603503678023282,-5.8329439552634925,1.2669883528987
48_hours,139.25506624871883,60.492293754343294,178.61138094197645,0.48120020620752324,139.25506624871883,0.37516963499708056,-0.8928194459637768,2.790852624177241,1.2096255274032484
72_hours,103.66559919708877,31.951755646088177,130.74590292423497,0.34223937531897697,103.66559919708877,0.27135420015293527,-0.8843280165903367,4.186278936265867,0.7849005515719549
4_days,140.8106163425778,50.429232371061104,176.05441336933478,0.47505951872067925,140.8106163425778,0.37995879995428017,-1.4256334524766543,-4.8292509564675,1.0549468482663913
5_days,119.76059516316843,35.6573897678849,137.9508473682804,0.35511013537231156,119.76059516316843,0.30828517527787236,-1.4423235311259162,2.3534793755826207,0.752045864279256
6_days,66.65692102274463,17.751482986574196,75.50705987472332,0.19805199231998047,66.65692102274463,0.17483843275547137,-0.24195653878524714,1.329073100764856,0.3479232661087988
7_days,92.45507113046165,25.632955470001797,116.18364442698014,0.3118679534090511,92.45507113046165,0.24817412087522317,-1.2453227889971257,-19.921792746372635,0.6544158274798786
